Title,Category,SubCategory,Frequency,ParentExists,Child,Discontinued
Consensus CPI Inflation for the Current Year,Inflation,CPI,BiMonthly,N,N,N
Consensus CPI Inflation for the Next Year,Inflation,CPI,BiMonthly,N,N,N
"CPI - Air conditioner, air cooler (2012 series)",Inflation,CPI,Monthly,Y,N,N
CPI - Air fare (normal): economy class(adult) (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - All Commodities (2012 series),Inflation,CPI,Monthly,N,Y,N
"CPI - All Commodities (2012 series, Annual)",Inflation,CPI,Annual,N,N,N
"CPI - All Commodities (Rural, 2012 series)",Inflation,CPI,Monthly,Y,Y,N
"CPI - All Commodities (Urban, 2012 series)",Inflation,CPI,Monthly,Y,Y,N
"CPI - Almirah, dressing table (2012 series)",Inflation,CPI,Monthly,Y,N,N
CPI - Any other personal goods (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Apple (2012 series),Inflation,CPI,Monthly,Y,N,N
"CPI - Arhar, tur (2012 series)",Inflation,CPI,Monthly,Y,N,N
CPI - Baby food (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Bajra & its products (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Banana (2012 series),Inflation,CPI,Monthly,Y,N,N
"CPI - Baniyan, socks, other hosiery and undergarments, etc. (2012 series)",Inflation,CPI,Monthly,Y,N,N
"CPI - Barber, beautician, etc. (2012 series)",Inflation,CPI,Monthly,Y,N,N
CPI - Bathroom and sanitary equipment (2012 series),Inflation,CPI,Monthly,Y,N,N
"CPI - Beans, barbati (2012 series)",Inflation,CPI,Monthly,Y,N,N
"CPI - Bed sheet, bed cover (2012 series)",Inflation,CPI,Monthly,Y,N,N
CPI - Bedding: others (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Bedstead (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Beef/ buffalo meat (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Beer (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Berries (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Besan (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Bicycle(without accessories) (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Bidi (2012 series),Inflation,CPI,Monthly,Y,N,N
"CPI - Biscuits, chocolates, etc. (2012 series)",Inflation,CPI,Monthly,Y,N,N
CPI - Black pepper (2012 series),Inflation,CPI,Monthly,Y,N,N
"CPI - Books, journals: first hand (2012 series)",Inflation,CPI,Monthly,Y,N,N
CPI - Bread (bakery) (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Brinjal (2012 series),Inflation,CPI,Monthly,Y,N,N
"CPI - Bucket, water bottle/ feeding bottle & other plastic goods (2012 series)",Inflation,CPI,Monthly,Y,N,N
CPI - Bus/tram fare (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Butter (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Cabbage (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Camera & photographic equipment (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Candle (2012 series),Inflation,CPI,Monthly,Y,N,N
"CPI - Candy, misri (2012 series)",Inflation,CPI,Monthly,Y,N,N
"CPI - Carpet, daree& other floor mattings (2012 series)",Inflation,CPI,Monthly,Y,N,N
CPI - Carrot (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Cashewnut (2012 series),Inflation,CPI,Monthly,Y,N,N
